"ap_id","utility_id","geoid","region_name"
11399388,384,60014001001,"Alameda County"
11397106,384,60014001001,"Alameda County"
11399841,384,60014001001,"Alameda County"
11400317,384,60014001001,"Alameda County"
11396566,384,60014001001,"Alameda County"
11397156,384,60014001001,"Alameda County"
11400369,384,60014001001,"Alameda County"
11400394,384,60014001001,"Alameda County"
11400281,384,60014001001,"Alameda County"
11396552,384,60014001001,"Alameda County"
11403528,384,60014001001,"Alameda County"
11400159,384,60014001001,"Alameda County"
11399499,384,60014001001,"Alameda County"
11396530,384,60014001001,"Alameda County"
11397085,384,60014001001,"Alameda County"
11400280,384,60014001001,"Alameda County"
11400105,384,60014001001,"Alameda County"
11404042,384,60014001001,"Alameda County"
11400012,384,60014001001,"Alameda County"
11396761,384,60014001001,"Alameda County"
11475154,384,60014035021,"Alameda County"
11475086,384,60014035021,"Alameda County"
11471645,384,60014035021,"Alameda County"
11475075,384,60014035021,"Alameda County"
11471612,384,60014035021,"Alameda County"
11471665,384,60014035021,"Alameda County"
11475080,384,60014035021,"Alameda County"
11471584,384,60014035021,"Alameda County"
11471573,384,60014035021,"Alameda County"
11475137,384,60014035021,"Alameda County"
11475165,384,60014035021,"Alameda County"
11471671,384,60014035021,"Alameda County"
11471672,384,60014035021,"Alameda County"
11471667,384,60014035021,"Alameda County"
11475131,384,60014035021,"Alameda County"
11475159,384,60014035021,"Alameda County"
11471616,384,60014035021,"Alameda County"
11471598,384,60014035021,"Alameda County"
11471690,384,60014035021,"Alameda County"
11478833,384,60014035021,"Alameda County"
11396960,384,60014044001,"Alameda County"
11398863,384,60014044001,"Alameda County"
11397980,384,60014044001,"Alameda County"
11457001,384,60014044001,"Alameda County"
11398795,384,60014044001,"Alameda County"
11398845,384,60014044001,"Alameda County"
11398619,384,60014044001,"Alameda County"
11399178,384,60014044001,"Alameda County"
11398072,384,60014044001,"Alameda County"
11397366,384,60014044001,"Alameda County"
11398830,384,60014044001,"Alameda County"
11398813,384,60014044001,"Alameda County"
11397446,384,60014044001,"Alameda County"
11398953,384,60014044001,"Alameda County"
11398910,384,60014044001,"Alameda County"
11398540,384,60014044001,"Alameda County"
11455627,384,60014044001,"Alameda County"
11398860,384,60014044001,"Alameda County"
11457010,384,60014044001,"Alameda County"
11398847,384,60014044001,"Alameda County"
11437555,384,60014045022,"Alameda County"
11455390,384,60014045022,"Alameda County"
11443003,384,60014045022,"Alameda County"
11442614,384,60014045022,"Alameda County"
11455304,384,60014045022,"Alameda County"
11442940,384,60014045022,"Alameda County"
11442971,384,60014045022,"Alameda County"
11437385,384,60014045022,"Alameda County"
11437383,384,60014045022,"Alameda County"
11387444,384,60014045022,"Alameda County"
11437297,384,60014045022,"Alameda County"
11437332,384,60014045022,"Alameda County"
11443049,384,60014045022,"Alameda County"
11455415,384,60014045022,"Alameda County"
11437320,384,60014045022,"Alameda County"
10183623,384,60014045022,"Alameda County"
11455404,384,60014045022,"Alameda County"
11387464,384,60014045022,"Alameda County"
11437379,384,60014045022,"Alameda County"
11455403,384,60014045022,"Alameda County"
11433512,384,60014045023,"Alameda County"
11443188,384,60014045023,"Alameda County"
11443277,384,60014045023,"Alameda County"
11438384,384,60014045023,"Alameda County"
11438575,384,60014045023,"Alameda County"
11455379,384,60014045023,"Alameda County"
11436268,384,60014045023,"Alameda County"
11436266,384,60014045023,"Alameda County"
11454532,384,60014045023,"Alameda County"
11443118,384,60014045023,"Alameda County"
11443111,384,60014045023,"Alameda County"
11443068,384,60014045023,"Alameda County"
11438455,384,60014045023,"Alameda County"
11433402,384,60014045023,"Alameda County"
11455396,384,60014045023,"Alameda County"
11437617,384,60014045023,"Alameda County"
11433451,384,60014045023,"Alameda County"
11433421,384,60014045023,"Alameda County"
11454601,384,60014045023,"Alameda County"
11443183,384,60014045023,"Alameda County"
11480436,384,60014052004,"Alameda County"
11490319,384,60014052004,"Alameda County"
11480355,384,60014052004,"Alameda County"
11481546,384,60014052004,"Alameda County"
11480215,384,60014052004,"Alameda County"
11490357,384,60014052004,"Alameda County"
11490350,384,60014052004,"Alameda County"
11480185,384,60014052004,"Alameda County"
11485079,384,60014052004,"Alameda County"
11481759,384,60014052004,"Alameda County"
11490312,384,60014052004,"Alameda County"
11490353,384,60014052004,"Alameda County"
11481663,384,60014052004,"Alameda County"
11480363,384,60014052004,"Alameda County"
11481758,384,60014052004,"Alameda County"
11481734,384,60014052004,"Alameda County"
11490316,384,60014052004,"Alameda County"
11480198,384,60014052004,"Alameda County"
11480212,384,60014052004,"Alameda County"
11490328,384,60014052004,"Alameda County"
11339319,384,60014066011,"Alameda County"
11339131,384,60014066011,"Alameda County"
11446517,384,60014066011,"Alameda County"
11339274,384,60014066011,"Alameda County"
11447191,384,60014066011,"Alameda County"
11339103,384,60014066011,"Alameda County"
11447134,384,60014066011,"Alameda County"
11451222,384,60014066011,"Alameda County"
11339110,384,60014066011,"Alameda County"
11334609,384,60014066011,"Alameda County"
11451252,384,60014066011,"Alameda County"
11339140,384,60014066011,"Alameda County"
11339091,384,60014066011,"Alameda County"
11451202,384,60014066011,"Alameda County"
11339148,384,60014066011,"Alameda County"
11446617,384,60014066011,"Alameda County"
11339092,384,60014066011,"Alameda County"
11451263,384,60014066011,"Alameda County"
11451261,384,60014066011,"Alameda County"
11447117,384,60014066011,"Alameda County"
11339222,384,60014066012,"Alameda County"
11446993,384,60014066012,"Alameda County"
11340581,384,60014066012,"Alameda County"
11339322,384,60014066012,"Alameda County"
11339279,384,60014066012,"Alameda County"
11339095,384,60014066012,"Alameda County"
11447088,384,60014066012,"Alameda County"
11339593,384,60014066012,"Alameda County"
11339143,384,60014066012,"Alameda County"
11339245,384,60014066012,"Alameda County"
11442092,384,60014066012,"Alameda County"
